,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
23015,23015,2020-06-29 06:55:59,4761403817546679245,fraud_Gleason-Macejkovic,shopping_net,1071.19,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,ea34095276881590a94477b94f1e4ef5,1372488959,36.218266,-91.793638,1
306195,306195,2020-10-15 00:06:07,341542810616333,fraud_Koss and Sons,gas_transport,17.45,Billy,Mcdonald,M,304 Ryan Port Suite 335,Camden,MO,64017,39.2048,-94.0259,464,Colour technologist,1959-05-28,2a655b84181638bc0d85674c2cdfdd77,1381795567,39.626565,-93.75182,1
33880,33880,2020-07-02 23:17:05,3540416671210051,fraud_Balistreri-Nader,misc_pos,9.03,Stephanie,Freeman,F,44613 James Turnpike,Rice,MN,56367,45.7364,-94.1658,6263,"Engineer, water",1944-05-30,b6a8fb11da28ccd05d94fc836fbd0702,1372807025,44.823867,-94.689224,1
257280,257280,2020-09-23 11:00:46,30270432095985,"fraud_Zieme, Bode and Dooley",gas_transport,12.54,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,22c3e1ad2bb60270ad4ba87e1d0dcd08,1379934046,41.505957,-91.489182,1
175344,175344,2020-08-21 23:34:18,375974680629816,fraud_Waters-Cruickshank,health_fitness,16.52,Roberta,Mccarthy,F,94431 Matthew Mall Suite 296,Plymouth,CT,6782,41.6611,-73.0449,2376,Herpetologist,1973-04-06,d2b3b4d1c86329e590844da8f31a1e47,1377128058,40.884856,-73.388254,1
385945,385945,2020-11-18 23:27:19,4066595222529,"fraud_Streich, Dietrich and Barton",shopping_net,1108.71,Jamie,Olson,F,3423 Michael Canyon Suite 276,River,KY,41254,37.8795,-82.7251,571,Quarry manager,1931-03-07,68a9cc0f235ec12c3638a2e3e8d0ac70,1384817239,37.020649,-82.85431899999999,1
310014,310014,2020-10-17 03:42:30,4306586894261180,"fraud_Robel, Cummerata and Prosacco",gas_transport,9.3,Renee,Walls,F,86542 Jessica Fords Apt. 706,Veedersburg,IN,47987,40.1186,-87.2602,4049,"Development worker, community",1959-10-19,5617e24f678e31ad6bcae127704f7a19,1381981350,40.229222,-87.98786700000001,1
121880,121880,2020-08-03 01:43:53,3577794103155425,fraud_Maggio-Fahey,misc_pos,684.31,Mary,Humphrey,F,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,1994-11-12,f62547fed07b5d444ca8e53cdbeae2eb,1375494233,46.75386,-97.382143,1
133518,133518,2020-08-07 00:31:27,6595970453799027,fraud_Parisian and Sons,gas_transport,21.44,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,9708c85930cd1ad9a860bec9db9ec3fc,1375835487,40.352201,-75.487264,1
485998,485998,2020-12-16 01:00:54,2714019737356678,fraud_Kuhic Inc,grocery_pos,273.2,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,15377,39.9914,-80.4408,724,Theme park manager,1995-08-30,08b4356b5a9d51f2b3f024d74f2783dc,1387155654,39.923508,-79.920082,1
365424,365424,2020-11-09 23:36:16,4169388510116,fraud_Schmitt Ltd,misc_net,762.14,Marcia,Molina,F,6744 Jimmy Extensions,Port Gibson,NY,14537,43.033,-77.1575,207,Database administrator,1962-09-27,35c1ad92033aa859c9293d894bcde4ab,1384040176,43.214295,-77.14636899999999,1
277718,277718,2020-10-02 23:10:40,4710826438164847414,"fraud_Effertz, Welch and Schowalter",entertainment,669.67,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,1964-01-04,9a0883131bacbf1153e440ee5a18e757,1380755440,48.047021,-107.757399,1
221854,221854,2020-09-08 03:14:15,3597926034019603,"fraud_Mosciski, Gislason and Mertz",grocery_pos,281.61,Derrick,Flores,M,83690 Nicholas Ports Apt. 846,Oakland,TN,38060,35.2229,-89.5518,9496,Furniture conservator/restorer,1993-03-23,22116bf91d76491dc7a01ae1308b0039,1378610055,34.307678,-89.457954,1
137994,137994,2020-08-08 22:29:41,376445266762684,"fraud_Hagenes, Hermann and Stroman",travel,10.62,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,844be598e478cbf1ec433e87b419fa8c,1376000981,40.66627,-101.860761,1
334064,334064,2020-10-27 05:20:25,573283817795,fraud_Deckow-O'Conner,grocery_pos,325.1,Amy,Flynn,F,46095 Tara Fords,Jaffrey,NH,3452,42.8178,-72.0275,5457,"Surveyor, hydrographic",1950-04-17,0c91205e691c2606f5fa9b3cc429d12f,1382851225,43.358705,-72.26582900000001,1
307984,307984,2020-10-16 01:49:50,3527063666782582,"fraud_Moen, Reinger and Murphy",grocery_pos,306.79,Amanda,Alexander,F,21810 James Mall,Camden,TX,75934,30.9,-94.7547,99,Colour technologist,1965-11-21,91b64a57143552c18cc30e685c09fe3e,1381888190,30.563808,-94.551683,1
330212,330212,2020-10-25 23:38:36,180046617132290,fraud_Dooley-Thompson,misc_net,769.5,Erika,Mason,F,083 Karen Island Apt. 656,Goreville,IL,62939,37.575,-88.9655,3119,"Teacher, secondary school",1942-04-17,a691a4548fd4ae481799c6d85a4868a3,1382744316,36.848919,-88.333125,1
65920,65920,2020-07-13 22:52:38,676314217768,"fraud_Hyatt, Russel and Gleichner",health_fitness,18.35,Ellen,Carrillo,F,9431 Amanda Mills,Odessa,MO,64076,38.9829,-93.9757,9512,Clinical research associate,1972-12-31,a6bd4f7585782a1bca562bc5d8863494,1373755958,38.212745,-93.038614,1
258083,258083,2020-09-23 22:03:34,60487002085,fraud_Volkman-Predovic,shopping_net,1057.35,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,8fb4a94b1016de03a7e9d475f0070673,1379973814,32.205139,-90.731305,1
352634,352634,2020-11-04 01:56:18,2229378226512508,fraud_Rodriguez Group,gas_transport,8.74,Thomas,Hale,M,949 Smith Parkway,Cazenovia,WI,53924,43.4987,-90.2796,1360,Occupational hygienist,1984-11-06,341ea42350ddbcedac39658f5fd361d3,1383530178,44.450123,-90.636791,1
325721,325721,2020-10-23 23:39:49,4481131401752,"fraud_Schmeler, Bashirian and Price",shopping_net,1140.55,Frank,Foster,M,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299,English as a second language teacher,1975-04-30,54cd6f816cd823d84c4961dee4ee46bd,1382571589,41.979828000000005,-72.197301,1
212009,212009,2020-09-04 03:43:16,3550412175018089,"fraud_Heller, Gutmann and Zieme",grocery_pos,332.59,Morgan,James,F,742 Sellers Ferry,Lexington,KY,40502,38.0174,-84.4854,296965,Software engineer,1962-12-30,7b0ee4c0deb9737ecc47242fb076533e,1378266196,37.277657,-83.82593100000001,1
259802,259802,2020-09-24 22:37:44,30270432095985,fraud_Morissette PLC,shopping_pos,1052.9,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,81fcbc2c6dc202658afa67dfb5a54986,1380062264,41.419683,-91.67608,1
386096,386096,2020-11-19 02:13:20,6538441737335434,fraud_Goodwin-Nitzsche,grocery_pos,317.59,Gina,Grimes,F,444 Robert Mews,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,1997-09-22,42e2c36303e83784166fee08b354f90a,1384827200,42.044567,-80.48099599999999,1
125646,125646,2020-08-03 23:33:26,2358122155477959,fraud_Sporer-Keebler,personal_care,18.29,Mike,Tran,M,17355 Mendoza Bypass Suite 059,Linthicum Heights,MD,21090,39.2092,-76.6681,9784,"Conservator, furniture",1924-10-30,281a9765dc7f9ea05fa96773ff7b7518,1375572806,39.393009,-75.779771,1
394245,394245,2020-11-23 02:26:27,3500165543009955,"fraud_Huel, Hammes and Witting",grocery_pos,312.63,Ricky,Dunn,M,97689 Davis Point Apt. 967,Detroit,MI,48214,42.3669,-82.9938,673342,Health visitor,1983-09-02,a3bd0c002c37b93289e2db7a1d9eb435,1385173587,42.426687,-82.523542,1
26397,26397,2020-06-30 01:40:26,4761403817546679245,"fraud_Langworth, Boehm and Gulgowski",shopping_net,829.4,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,dbab11d6b66735e14dffaf08b5601ad8,1372556426,35.582421999999994,-91.611369,1
405159,405159,2020-11-27 23:54:57,3513506355699497,fraud_Bashirian Group,shopping_net,1071.14,Sarah,Adams,F,5654 Peterson Land,Ridgeland,MS,39157,32.4122,-90.1207,24645,"Scientist, clinical (histocompatibility and immunogenetics)",1966-05-29,b2e1f47d26a43b1ffdaac5962f34b8be,1385596497,32.742388,-90.008881,1
284199,284199,2020-10-05 14:57:29,2297447006766555,"fraud_Labadie, Treutel and Bode",shopping_net,1061.02,Laura,Walker,F,611 Michael Rue,Cisco,IL,61830,39.9972,-88.6962,478,Landscape architect,1960-01-13,d30b35aead858500dbe684300ade3570,1380985049,40.009271000000005,-87.856606,1
85669,85669,2020-07-20 22:05:35,375534208663984,"fraud_Ruecker, Beer and Collier",shopping_net,1152.49,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,1986-03-28,7dfa0c04f69b0b82875e6fd6134c6f9e,1374357935,38.877282,-79.924397,1
403491,403491,2020-11-27 02:31:38,676275912597,"fraud_Reilly, Heaney and Cole",gas_transport,11.88,Edward,Hensley,M,24318 Dixon Mills,Elk Rapids,MI,49629,44.8955,-85.4082,2223,Chief Financial Officer,1986-01-18,749deb5dcc6cd3e3919e0074d5e08213,1385519498,45.878937,-86.324872,1
251279,251279,2020-09-21 07:16:37,4170689372027579,"fraud_Stehr, Jewess and Schimmel",misc_net,772.07,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,4d069e0e767b3163f62736966d64f6ed,1379747797,35.600204,-97.061854,1
309688,309688,2020-10-16 22:51:53,3527063666782582,fraud_Stiedemann Inc,misc_pos,48.68,Amanda,Alexander,F,21810 James Mall,Camden,TX,75934,30.9,-94.7547,99,Colour technologist,1965-11-21,9a37717f6a35ac111486ea49e1ebe865,1381963913,31.025499,-94.723739,1
188862,188862,2020-08-26 01:24:26,4512828414983801773,fraud_Barrows PLC,shopping_pos,754.99,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1983-07-25,aa535601bbfeafa2d9be23836acc3673,1377480266,40.535815,-80.621781,1
378740,378740,2020-11-16 05:01:14,378006354724784,fraud_Heidenreich PLC,grocery_pos,269.38,Christopher,Matthews,M,433 John Heights Apt. 849,Etlan,VA,22719,38.5095,-78.2638,395,Senior tax professional/tax inspector,1982-01-07,9673546d773daf03bb1a5049ff095a6b,1384578074,38.071382,-78.690313,1
42422,42422,2020-07-06 02:51:13,4462038234743679432,fraud_Bradtke PLC,grocery_pos,341.91,Kimberly,Bush,F,6027 Scott Meadows Suite 494,Dell City,TX,79837,31.924,-105.2099,579,Hydrogeologist,1945-11-26,9045e92173094520d72a2d874b60e79a,1373079073,31.805983,-105.005893,1
327530,327530,2020-10-24 23:53:11,4599285557366057,"fraud_Okuneva, Schneider and Rau",shopping_pos,1252.51,Mary,Williams,F,00315 Ashley Valleys,Burrton,KS,67020,38.0261,-97.6666,1689,Gaffer,1997-11-18,0eefd12b0610c181ed68a0391e09a0b0,1382658791,37.135379,-96.667749,1
371874,371874,2020-11-13 00:48:05,3535808924394848,fraud_Bins-Rice,gas_transport,11.02,Matthew,Myers,M,4936 Michelle Points,Tower Hill,IL,62571,39.39,-88.9597,1532,Radio broadcast assistant,1980-01-09,9bc6045415d8c75a5ff38a07d0aa381d,1384303685,40.311117,-87.995756,1
218061,218061,2020-09-06 22:25:43,4904681492230012,fraud_Heaney-Marquardt,entertainment,493.98,Lisa,Lowe,F,574 David Locks Suite 207,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19,4dd3016f786628b024cb93fab2d54458,1378506343,42.39999,-73.87866700000001,1
355564,355564,2020-11-05 22:25:33,38859492057661,fraud_Kuphal-Bartoletti,misc_net,718.19,Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,1962-01-19,b2c1b577c23eed4d2ae7b281c7a4380b,1383690333,42.490971,-112.759772,1
